,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,name_len
19726,Manhattan,Lower East Side,Private room,86,5,0,1.3732214298586884,1,0,27
19727,Brooklyn,Bedford-Stuyvesant,Private room,200,2,0,1.3732214298586884,1,0,30
19728,Brooklyn,Prospect-Lefferts Gardens,Private room,99,2,5,0.16,1,364,24
19729,Queens,Maspeth,Private room,65,4,0,1.3732214298586884,3,0,47
19730,Queens,Woodhaven,Private room,45,4,22,0.68,2,266,48
19731,Brooklyn,Bushwick,Shared room,28,1,117,4.56,4,118,41
19732,Manhattan,Chinatown,Entire home/apt,159,6,39,1.31,1,351,45
19733,Brooklyn,Gowanus,Entire home/apt,250,5,40,1.32,1,70,47
19734,Manhattan,East Village,Private room,85,2,37,1.2,1,6,27
19735,Manhattan,Lower East Side,Entire home/apt,160,1,73,2.38,4,229,47
19736,Brooklyn,Bedford-Stuyvesant,Private room,50,2,0,1.3732214298586884,1,0,48
19737,Brooklyn,Bushwick,Private room,49,1,74,2.42,3,53,49
19738,Manhattan,Harlem,Private room,69,4,153,4.74,2,125,47
19739,Brooklyn,Fort Greene,Entire home/apt,200,2,2,2.0,1,15,36
19740,Brooklyn,Red Hook,Private room,62,5,6,0.19,1,0,37
19741,Manhattan,Murray Hill,Entire home/apt,400,1,17,0.54,2,364,34
19742,Brooklyn,Fort Greene,Private room,80,1,53,2.15,1,0,41
19743,Queens,Kew Gardens Hills,Entire home/apt,105,3,4,0.12,1,1,47
19744,Brooklyn,Crown Heights,Entire home/apt,87,1,9,0.3,3,0,37
19745,Brooklyn,Bushwick,Entire home/apt,99,3,126,3.93,1,46,33
19746,Queens,Ridgewood,Private room,20,7,0,1.3732214298586884,1,89,45
19747,Brooklyn,Williamsburg,Entire home/apt,109,4,91,3.31,1,212,44
19748,Manhattan,Upper West Side,Private room,75,2,8,0.26,1,0,49
19749,Manhattan,Midtown,Entire home/apt,175,2,11,0.6,1,88,49
19750,Manhattan,Hell's Kitchen,Entire home/apt,289,2,4,0.13,1,0,40
19751,Brooklyn,Williamsburg,Entire home/apt,209,2,23,0.72,2,11,48
19752,Brooklyn,Bushwick,Entire home/apt,75,2,84,2.61,1,322,39
19753,Brooklyn,Bushwick,Private room,35,2,106,3.26,4,349,42
19754,Manhattan,Upper East Side,Entire home/apt,117,30,1,0.75,91,311,33
19755,Brooklyn,East Flatbush,Entire home/apt,80,1,127,6.54,1,7,49
19756,Manhattan,Hell's Kitchen,Entire home/apt,250,15,1,0.35,1,52,38
19757,Manhattan,Harlem,Private room,50,30,4,0.14,2,365,40
19758,Brooklyn,Williamsburg,Private room,70,2,19,0.6,1,19,37
19759,Brooklyn,Williamsburg,Entire home/apt,150,3,19,0.59,1,0,50
19760,Manhattan,Financial District,Entire home/apt,145,3,2,0.06,1,0,31
19761,Manhattan,West Village,Entire home/apt,221,30,3,0.13,1,0,42
19762,Brooklyn,Bedford-Stuyvesant,Entire home/apt,142,1,122,3.8,1,80,46
19763,Staten Island,Castleton Corners,Entire home/apt,65,2,52,1.95,1,40,28
19764,Queens,Astoria,Entire home/apt,110,2,67,2.13,1,191,30
19765,Manhattan,East Village,Private room,80,6,10,0.31,2,7,30
19766,Brooklyn,Bushwick,Private room,35,2,44,1.41,4,325,43
19767,Manhattan,Washington Heights,Entire home/apt,150,3,36,1.13,1,5,43
19768,Manhattan,Murray Hill,Private room,40,5,0,1.3732214298586884,1,0,43
19769,Brooklyn,Williamsburg,Entire home/apt,150,1,17,0.6,1,102,34
19770,Brooklyn,Park Slope,Private room,47,2,7,0.26,1,0,37
19771,Queens,Flushing,Entire home/apt,85,1,68,2.13,1,0,34
19772,Brooklyn,Windsor Terrace,Entire home/apt,100,2,87,2.78,1,77,49
19773,Queens,Corona,Private room,40,1,43,1.37,2,59,38
19774,Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,7,1,0.03,1,0,37
19775,Queens,Jackson Heights,Entire home/apt,99,2,171,5.3,2,1,50
19776,Bronx,Kingsbridge,Entire home/apt,105,3,54,1.68,2,278,34
19777,Brooklyn,East Flatbush,Private room,33,2,119,3.69,1,277,44
19778,Brooklyn,Bushwick,Private room,50,2,72,2.35,2,293,33
19779,Manhattan,Greenwich Village,Entire home/apt,295,365,15,0.49,1,0,49
19780,Brooklyn,Williamsburg,Private room,72,1,154,4.79,1,215,40
19781,Manhattan,Chinatown,Entire home/apt,300,7,58,1.79,1,36,49
19782,Brooklyn,Clinton Hill,Private room,48,20,24,0.78,1,304,48
19783,Queens,Astoria,Private room,55,1,94,2.91,2,0,33
19784,Brooklyn,Prospect-Lefferts Gardens,Private room,100,2,90,2.95,2,0,45
19785,Brooklyn,Fort Greene,Entire home/apt,180,2,5,0.16,1,18,30
19786,Brooklyn,Bedford-Stuyvesant,Entire home/apt,300,2,34,1.11,1,180,33
19788,Manhattan,Midtown,Entire home/apt,1020,1,12,0.39,6,365,38
19789,Brooklyn,Bedford-Stuyvesant,Private room,53,1,59,1.9,1,188,32
19790,Brooklyn,Crown Heights,Entire home/apt,160,5,1,0.04,1,290,41
19791,Manhattan,Upper East Side,Private room,143,2,8,0.26,1,365,50
19792,Manhattan,Harlem,Private room,164,1,141,4.74,5,209,46
19793,Manhattan,Harlem,Private room,164,1,143,4.82,5,221,48
19794,Brooklyn,Prospect-Lefferts Gardens,Private room,48,2,74,2.38,2,20,33
19795,Manhattan,Kips Bay,Shared room,65,4,0,1.3732214298586884,1,0,44
19796,Manhattan,East Village,Private room,70,1,209,6.45,1,203,35
19797,Queens,Maspeth,Entire home/apt,159,5,25,0.97,2,299,20
19798,Brooklyn,Williamsburg,Private room,89,5,26,0.8,3,0,35
19799,Queens,Astoria,Entire home/apt,100,1,131,4.12,1,8,30
19800,Manhattan,Upper East Side,Private room,60,1,27,0.88,2,0,50
19801,Brooklyn,Crown Heights,Private room,42,4,13,0.41,1,364,46
19802,Brooklyn,Bushwick,Private room,57,4,17,0.66,2,307,25
19803,Brooklyn,Bushwick,Private room,43,1,1,0.03,1,0,46
19804,Manhattan,East Harlem,Private room,99,2,81,2.51,3,88,34
19805,Brooklyn,Williamsburg,Private room,105,1,38,1.21,1,0,50
19806,Manhattan,Harlem,Entire home/apt,140,15,0,1.3732214298586884,1,0,49
19807,Manhattan,Washington Heights,Private room,65,5,3,0.1,1,179,50
19808,Manhattan,Hell's Kitchen,Entire home/apt,125,30,6,0.19,31,323,28
19809,Manhattan,Upper West Side,Entire home/apt,265,2,16,0.52,1,16,40
19810,Manhattan,Gramercy,Private room,100,3,1,0.03,1,0,26
19811,Brooklyn,Sunset Park,Private room,38,2,1,0.03,1,0,35
19812,Queens,Astoria,Private room,88,5,7,0.22,1,0,34
19813,Manhattan,Harlem,Private room,60,4,41,1.31,1,98,24
19814,Brooklyn,Windsor Terrace,Entire home/apt,159,2,32,0.99,1,0,31
19815,Manhattan,Upper East Side,Private room,65,2,42,1.31,2,0,45
19816,Brooklyn,Crown Heights,Private room,700,30,1,0.03,1,87,20
19817,Manhattan,Upper West Side,Entire home/apt,150,4,1,0.03,1,0,49
19818,Brooklyn,Bushwick,Private room,50,1,4,0.12,1,0,48
19819,Brooklyn,Bedford-Stuyvesant,Private room,70,1,1,0.03,1,0,13
19820,Brooklyn,Park Slope,Private room,225,15,4,0.13,1,0,45
19821,Manhattan,Chinatown,Private room,61,5,25,0.79,2,20,49
19822,Queens,South Ozone Park,Private room,120,1,31,1.03,1,352,33
19823,Brooklyn,Williamsburg,Private room,110,3,0,1.3732214298586884,1,0,50
19824,Brooklyn,Cypress Hills,Entire home/apt,63,4,54,1.71,1,344,48
19825,Brooklyn,Bushwick,Private room,65,3,72,2.26,1,179,35
19826,Brooklyn,Cypress Hills,Shared room,25,1,64,2.02,6,0,44
19827,Queens,Flushing,Entire home/apt,143,30,4,0.22,15,7,49
19828,Manhattan,Midtown,Entire home/apt,197,2,47,1.46,1,13,48
19829,Brooklyn,Greenpoint,Private room,89,1,86,2.7,1,173,33
19830,Brooklyn,Crown Heights,Entire home/apt,158,4,61,1.92,1,264,25
19831,Manhattan,West Village,Entire home/apt,125,7,12,0.38,1,0,41
19832,Manhattan,East Harlem,Entire home/apt,250,3,6,0.22,1,0,13
19833,Manhattan,Chinatown,Private room,119,6,117,3.65,2,207,43
19834,Manhattan,Upper West Side,Private room,128,7,71,2.21,1,171,47
19835,Brooklyn,Bedford-Stuyvesant,Entire home/apt,169,3,44,1.4,1,64,48
19836,Manhattan,Kips Bay,Private room,115,3,61,1.94,1,137,44
19837,Queens,Astoria,Private room,70,1,19,1.5,1,172,50
19838,Manhattan,Midtown,Private room,115,1,2,0.08,1,88,24
19839,Manhattan,Morningside Heights,Private room,100,3,6,0.19,2,0,42
19840,Brooklyn,Bedford-Stuyvesant,Private room,50,3,91,2.83,4,262,50
19841,Manhattan,Harlem,Entire home/apt,200,7,3,0.09,2,0,39
19842,Manhattan,West Village,Entire home/apt,220,10,8,0.27,2,0,42
19843,Manhattan,Inwood,Private room,45,5,30,0.94,2,0,48
19844,Manhattan,Harlem,Entire home/apt,203,3,13,0.42,2,0,49
19845,Manhattan,Murray Hill,Entire home/apt,180,7,95,3.01,1,87,50
19846,Bronx,Norwood,Private room,40,1,1,0.03,1,0,42
19847,Brooklyn,Flatbush,Private room,42,2,0,1.3732214298586884,1,0,16
19848,Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,2,107,3.47,1,81,39
19849,Manhattan,Theater District,Entire home/apt,190,10,5,0.16,1,0,46
19850,Brooklyn,Williamsburg,Private room,58,2,6,0.2,1,0,48
19851,Brooklyn,Fort Greene,Entire home/apt,150,2,1,0.05,1,0,49
19852,Bronx,Kingsbridge,Private room,55,1,0,1.3732214298586884,2,64,48
19853,Manhattan,Chelsea,Entire home/apt,180,4,46,1.48,1,0,37
19854,Brooklyn,Williamsburg,Entire home/apt,250,2,53,1.68,1,2,48
19855,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,14,0.46,1,0,48
19856,Manhattan,Upper East Side,Entire home/apt,125,30,11,0.38,91,342,45
19857,Brooklyn,Williamsburg,Private room,49,3,7,0.32,1,37,38
19858,Brooklyn,Bushwick,Private room,40,2,96,2.99,3,78,50
19859,Queens,Elmhurst,Private room,40,1,91,2.82,8,162,40
19860,Manhattan,Harlem,Entire home/apt,130,4,32,1.02,1,39,48
19861,Brooklyn,Bushwick,Private room,900,15,3,0.09,1,83,47
19862,Manhattan,East Village,Private room,85,3,48,1.51,3,44,42
19863,Manhattan,Gramercy,Private room,110,1,8,0.25,1,0,37
19864,Manhattan,East Village,Private room,119,3,8,0.25,1,76,34
19865,Manhattan,Harlem,Private room,60,1,23,0.73,2,97,39
19866,Manhattan,Inwood,Entire home/apt,110,2,26,0.82,1,0,49
19867,Brooklyn,Bedford-Stuyvesant,Private room,200,2,0,1.3732214298586884,1,89,44
19868,Brooklyn,Williamsburg,Private room,50,2,77,2.44,1,107,49
19869,Brooklyn,Park Slope,Entire home/apt,110,5,48,1.52,1,0,47
19870,Manhattan,Chelsea,Entire home/apt,180,2,146,4.55,1,259,41
19871,Queens,South Ozone Park,Private room,75,10,7,0.27,4,197,5
19872,Queens,Kew Gardens Hills,Entire home/apt,105,4,12,0.39,1,335,39
19873,Queens,Kew Gardens Hills,Entire home/apt,105,4,21,0.69,1,352,48
19874,Manhattan,Upper East Side,Entire home/apt,300,2,19,0.6,3,179,50
19875,Brooklyn,Williamsburg,Private room,60,5,72,2.35,1,7,28
19876,Queens,Astoria,Entire home/apt,100,4,78,2.74,1,201,49
19877,Queens,Briarwood,Private room,120,1,77,2.39,6,361,37
19878,Brooklyn,Flatlands,Private room,35,2,0,1.3732214298586884,1,0,41
19879,Brooklyn,Bedford-Stuyvesant,Private room,45,1,45,1.47,4,361,46
19880,Manhattan,Upper West Side,Entire home/apt,255,2,65,2.04,1,5,47
19881,Brooklyn,Bedford-Stuyvesant,Private room,40,1,41,1.34,4,352,43
19882,Brooklyn,Flatbush,Private room,42,7,0,1.3732214298586884,1,0,43
19883,Manhattan,Upper West Side,Entire home/apt,240,30,1,0.48,12,211,42
19884,Staten Island,Oakwood,Entire home/apt,100,2,2,0.06,1,36,47
19885,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,110,3,88,2.76,1,248,49
19886,Brooklyn,Park Slope,Entire home/apt,185,3,104,3.28,1,262,50
19887,Manhattan,West Village,Entire home/apt,147,1,42,1.32,1,4,27
19888,Brooklyn,Bushwick,Private room,65,4,4,0.12,1,0,22
19889,Manhattan,Kips Bay,Entire home/apt,200,2,22,0.81,1,11,28
19890,Brooklyn,Clinton Hill,Entire home/apt,950,4,19,0.62,1,323,47
19891,Brooklyn,Brooklyn Heights,Entire home/apt,275,7,0,1.3732214298586884,1,0,30
19892,Brooklyn,Williamsburg,Private room,200,5,11,0.36,1,83,44
19893,Manhattan,Upper West Side,Entire home/apt,100,4,3,0.1,1,0,22
19894,Manhattan,East Village,Entire home/apt,350,2,0,1.3732214298586884,1,0,36
19895,Queens,Woodside,Private room,45,2,36,1.13,1,52,30
19896,Queens,Sunnyside,Private room,75,1,122,3.78,5,0,42
19897,Brooklyn,Bushwick,Shared room,60,1,0,1.3732214298586884,1,0,47
19898,Brooklyn,Gravesend,Private room,40,2,7,0.22,1,318,47
19899,Queens,Astoria,Entire home/apt,74,2,21,0.89,1,0,47
19900,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,2,5,0.16,1,0,47
19901,Brooklyn,Sunset Park,Entire home/apt,95,3,73,2.39,1,131,38
19902,Queens,Elmhurst,Private room,59,3,8,0.83,1,73,24
19903,Brooklyn,Bedford-Stuyvesant,Entire home/apt,180,2,75,2.35,1,237,50
19904,Manhattan,Harlem,Private room,50,2,0,1.3732214298586884,2,0,47
19905,Manhattan,Kips Bay,Entire home/apt,160,3,9,0.28,1,0,36
19906,Brooklyn,Williamsburg,Entire home/apt,139,4,2,0.07,1,0,32
19907,Brooklyn,Cypress Hills,Shared room,19,2,76,2.4,6,120,44
19908,Manhattan,SoHo,Entire home/apt,375,2,14,0.73,2,335,46
19909,Manhattan,East Harlem,Entire home/apt,135,1,45,1.4,1,0,30
19910,Manhattan,Midtown,Entire home/apt,175,3,0,1.3732214298586884,3,0,46
19911,Brooklyn,Bedford-Stuyvesant,Entire home/apt,169,4,78,2.54,1,84,40
19912,Queens,Astoria,Private room,56,3,0,1.3732214298586884,1,0,47
19913,Manhattan,Upper East Side,Entire home/apt,200,4,2,0.07,1,0,43
19914,Brooklyn,Bushwick,Entire home/apt,115,3,3,0.1,1,0,39
19915,Brooklyn,Crown Heights,Entire home/apt,45,3,1,0.03,1,0,43
19916,Manhattan,Theater District,Entire home/apt,400,4,12,0.38,1,26,40
19917,Queens,Briarwood,Private room,65,1,47,1.48,6,365,47
19918,Brooklyn,Cypress Hills,Private room,39,4,2,0.07,6,0,46
19919,Manhattan,Harlem,Private room,80,2,3,0.28,3,339,35
19920,Manhattan,East Harlem,Private room,85,3,97,3.07,2,14,44
19921,Manhattan,Upper East Side,Private room,150,1,11,0.97,1,0,50
19922,Manhattan,Lower East Side,Private room,75,8,0,1.3732214298586884,1,0,43
19923,Queens,Astoria,Private room,120,5,1,0.05,2,351,4
19924,Queens,Jackson Heights,Entire home/apt,100,4,4,0.13,1,157,44
19925,Manhattan,Gramercy,Private room,75,2,18,0.88,3,62,48
19926,Brooklyn,Williamsburg,Private room,91,1,13,0.55,3,85,45
19927,Manhattan,Harlem,Private room,150,1,2,0.07,1,0,49
19928,Brooklyn,Bushwick,Private room,46,7,26,0.91,2,0,50
19929,Brooklyn,Crown Heights,Private room,65,3,10,0.93,1,12,48
19930,Manhattan,Upper East Side,Entire home/apt,500,1,5,0.16,1,362,31
19931,Brooklyn,Bushwick,Private room,45,1,158,4.93,2,201,41
19932,Brooklyn,Bedford-Stuyvesant,Private room,50,3,0,1.3732214298586884,1,0,26
19933,Brooklyn,Bedford-Stuyvesant,Entire home/apt,155,2,122,3.96,1,59,48
19934,Brooklyn,Park Slope,Entire home/apt,149,11,8,0.26,1,0,43
19935,Brooklyn,Williamsburg,Private room,60,2,5,0.16,2,0,50
19936,Manhattan,Harlem,Private room,42,7,3,0.1,1,53,39
19937,Manhattan,Midtown,Private room,198,2,23,0.75,13,329,50
19938,Manhattan,Harlem,Private room,45,30,6,0.25,6,164,19
19939,Brooklyn,Crown Heights,Entire home/apt,130,4,3,0.1,1,13,50
19940,Brooklyn,Bedford-Stuyvesant,Private room,44,14,38,1.24,2,45,41
19941,Manhattan,Lower East Side,Entire home/apt,250,30,3,0.19,7,4,44
19942,Manhattan,Harlem,Private room,50,30,5,0.16,6,151,18
19943,Brooklyn,Clinton Hill,Entire home/apt,195,1,39,1.25,1,62,25
19944,Manhattan,Harlem,Private room,45,30,7,0.23,6,175,19
19945,Brooklyn,Greenpoint,Private room,37,3,4,0.13,1,0,47
19946,Manhattan,Lower East Side,Private room,78,2,46,1.45,5,341,40
19947,Manhattan,Washington Heights,Entire home/apt,80,8,4,0.13,1,0,49
19948,Manhattan,Washington Heights,Entire home/apt,200,5,0,1.3732214298586884,1,0,49
19949,Manhattan,Lower East Side,Private room,78,2,7,0.23,5,365,36
19950,Manhattan,Harlem,Private room,35,1,4,0.12,1,0,35
19951,Queens,Long Island City,Private room,52,1,0,1.3732214298586884,1,0,43
19952,Brooklyn,Greenpoint,Entire home/apt,150,3,0,1.3732214298586884,2,364,48
19953,Brooklyn,Flatbush,Private room,33,14,1,0.03,1,0,40
19954,Manhattan,Upper East Side,Entire home/apt,129,2,1,0.03,1,0,29
19955,Staten Island,Stapleton,Private room,49,1,17,0.53,1,0,41
19956,Manhattan,Harlem,Private room,103,1,2,0.06,1,0,45
19957,Manhattan,East Village,Entire home/apt,150,2,85,3.33,1,194,40
19958,Brooklyn,Bedford-Stuyvesant,Private room,41,7,9,0.28,1,0,25
19959,Manhattan,East Village,Private room,76,30,4,0.13,2,0,49
19960,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,3,9,0.31,3,298,15
19961,Manhattan,Upper West Side,Entire home/apt,167,3,3,0.09,1,0,41
19962,Queens,Astoria,Entire home/apt,95,4,20,0.63,1,0,28
19963,Brooklyn,Bushwick,Private room,35,1,148,4.63,2,169,45
19964,Manhattan,Hell's Kitchen,Shared room,99,1,8,0.26,1,365,48
19965,Manhattan,Harlem,Entire home/apt,150,2,81,2.57,1,63,38
19966,Manhattan,Roosevelt Island,Private room,65,20,2,0.34,1,0,30
19967,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,10,3,0.09,1,0,50
19968,Queens,Long Island City,Entire home/apt,76,3,9,0.29,1,0,30
19969,Manhattan,Midtown,Entire home/apt,198,2,31,1.19,13,322,45
19970,Brooklyn,Bedford-Stuyvesant,Private room,35,3,0,1.3732214298586884,1,0,23
19971,Queens,Astoria,Entire home/apt,110,21,6,0.19,1,0,42
19972,Brooklyn,Crown Heights,Entire home/apt,300,7,0,1.3732214298586884,1,0,42
19973,Manhattan,Chelsea,Entire home/apt,125,1,0,1.3732214298586884,1,0,22
19974,Brooklyn,Downtown Brooklyn,Entire home/apt,225,5,0,1.3732214298586884,1,0,24
19975,Manhattan,Upper East Side,Entire home/apt,265,2,10,0.45,1,3,32
19976,Manhattan,Upper East Side,Entire home/apt,110,3,2,0.06,1,0,31
19977,Brooklyn,Downtown Brooklyn,Private room,70,2,106,3.59,2,53,35
19978,Brooklyn,Williamsburg,Entire home/apt,220,5,1,0.03,1,0,39
19979,Brooklyn,Bedford-Stuyvesant,Entire home/apt,80,3,6,0.24,1,0,43
19980,Manhattan,East Village,Private room,55,3,12,0.37,1,4,18
19981,Manhattan,Little Italy,Entire home/apt,115,30,4,0.12,1,35,28
19982,Manhattan,Harlem,Entire home/apt,265,2,113,3.55,1,297,49
19983,Manhattan,Chelsea,Entire home/apt,228,4,16,0.51,1,103,44
19984,Brooklyn,Bushwick,Private room,50,1,2,0.06,2,0,43
19985,Manhattan,East Harlem,Entire home/apt,280,2,53,2.29,2,12,44
19986,Queens,Woodside,Private room,75,3,9,0.28,2,7,36
19987,Brooklyn,Williamsburg,Entire home/apt,120,5,1,0.16,1,0,47
19988,Manhattan,Upper West Side,Entire home/apt,250,2,2,0.07,1,0,13
19989,Manhattan,Midtown,Private room,350,4,0,1.3732214298586884,1,0,31
19990,Queens,Long Island City,Private room,70,4,1,0.16,1,0,50
19991,Manhattan,Harlem,Entire home/apt,135,2,113,3.58,1,86,18
19992,Manhattan,Hell's Kitchen,Private room,110,1,188,5.87,1,158,43
19993,Brooklyn,Williamsburg,Entire home/apt,149,1,120,3.75,1,329,43
19994,Brooklyn,Flatlands,Shared room,22,1,20,1.28,2,160,32
19995,Brooklyn,East Flatbush,Private room,49,2,18,0.59,2,90,27
19996,Manhattan,Midtown,Private room,899,2,2,0.06,12,365,43
19997,Manhattan,Harlem,Private room,40,5,4,0.22,1,0,29
19998,Brooklyn,East Flatbush,Entire home/apt,70,2,62,1.94,1,40,43
19999,Brooklyn,Gowanus,Entire home/apt,340,3,12,0.4,1,63,47
20000,Brooklyn,Greenpoint,Entire home/apt,75,2,14,0.7,1,93,46
20001,Queens,Bayside,Entire home/apt,53,6,0,1.3732214298586884,1,66,50
20002,Manhattan,Midtown,Private room,90,1,6,0.19,1,0,22
20003,Queens,Glendale,Private room,105,12,0,1.3732214298586884,1,0,25
20004,Brooklyn,Williamsburg,Private room,49,20,85,2.74,1,35,39
20005,Queens,Long Island City,Private room,95,2,62,1.96,1,118,43
20006,Manhattan,Upper East Side,Entire home/apt,155,21,9,0.28,1,0,43
20007,Brooklyn,Bedford-Stuyvesant,Shared room,40,4,17,0.53,1,0,32
20008,Brooklyn,Williamsburg,Private room,47,1,5,0.74,1,4,20
20009,Manhattan,Upper East Side,Entire home/apt,190,30,0,1.3732214298586884,10,180,35
20010,Manhattan,Midtown,Entire home/apt,700,10,15,1.27,1,302,46
20011,Manhattan,Lower East Side,Private room,109,1,3,0.18,3,0,14
20012,Manhattan,Midtown,Entire home/apt,198,2,27,0.88,13,246,49
20013,Manhattan,Chelsea,Entire home/apt,149,2,8,0.25,1,0,38
20014,Queens,Astoria,Entire home/apt,101,17,9,0.28,1,0,41
20015,Manhattan,West Village,Entire home/apt,150,3,1,0.03,1,0,32
20016,Manhattan,Greenwich Village,Entire home/apt,135,3,3,0.1,1,0,27
20017,Manhattan,West Village,Entire home/apt,220,4,0,1.3732214298586884,1,0,34
20018,Manhattan,Upper East Side,Private room,80,4,19,0.6,1,0,37
20019,Brooklyn,Bushwick,Entire home/apt,84,4,88,2.88,1,155,46
20020,Queens,Jamaica,Entire home/apt,99,2,13,1.71,2,365,22
20021,Manhattan,Hell's Kitchen,Private room,100,2,2,0.09,3,0,26
20022,Brooklyn,East Flatbush,Shared room,50,1,23,0.74,2,364,49
20023,Manhattan,Upper West Side,Entire home/apt,175,30,4,0.14,10,160,20
20024,Brooklyn,Greenpoint,Private room,60,3,1,0.03,1,0,20
20025,Brooklyn,Carroll Gardens,Entire home/apt,170,2,2,0.06,1,64,44
20026,Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,2,213,6.9,3,37,50
20027,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,1,3,0.09,1,0,44
20028,Brooklyn,Williamsburg,Private room,75,10,0,1.3732214298586884,1,0,49
20029,Manhattan,East Harlem,Entire home/apt,130,2,3,0.1,1,0,43
20030,Manhattan,Upper West Side,Private room,88,7,3,0.1,1,0,48
20031,Manhattan,Gramercy,Private room,110,1,16,0.5,1,0,12
20032,Manhattan,Upper East Side,Private room,200,2,3,0.09,1,90,38
20033,Brooklyn,Bedford-Stuyvesant,Private room,60,1,0,1.3732214298586884,1,0,43
20034,Manhattan,Inwood,Entire home/apt,100,5,39,1.28,1,12,35
20035,Manhattan,East Village,Entire home/apt,190,2,23,0.73,1,27,43
20036,Queens,Maspeth,Entire home/apt,86,2,78,2.55,1,149,47
20037,Brooklyn,Williamsburg,Private room,75,3,3,0.11,1,0,17
20038,Bronx,Morris Heights,Private room,55,2,0,1.3732214298586884,1,364,24
20039,Brooklyn,Clinton Hill,Entire home/apt,145,2,4,0.13,1,0,30
20040,Bronx,Morris Heights,Private room,75,1,3,0.32,1,365,35
20041,Brooklyn,Bedford-Stuyvesant,Private room,200,2,3,0.09,4,189,34
20042,Brooklyn,Greenpoint,Entire home/apt,86,4,2,0.06,1,0,50
20043,Manhattan,Harlem,Entire home/apt,160,1,41,1.56,1,273,45
20044,Brooklyn,Bushwick,Private room,59,3,11,0.46,5,0,47
20045,Manhattan,Hell's Kitchen,Entire home/apt,280,5,1,0.03,1,0,16
20046,Manhattan,Inwood,Entire home/apt,89,14,14,0.57,1,4,45
20047,Brooklyn,Bushwick,Private room,55,3,0,1.3732214298586884,1,0,16
20048,Brooklyn,Crown Heights,Entire home/apt,100,4,8,0.29,3,6,29
20049,Brooklyn,Sunset Park,Entire home/apt,75,4,5,0.16,1,0,21
20050,Brooklyn,Kensington,Entire home/apt,100,2,1,0.03,1,0,40
20051,Manhattan,Chinatown,Private room,95,4,1,0.03,1,0,44
20052,Brooklyn,Crown Heights,Private room,50,3,7,0.31,1,249,26
20053,Manhattan,Chelsea,Entire home/apt,599,2,3,0.33,1,54,48
20054,Queens,College Point,Private room,44,4,8,0.27,1,3,42
20055,Manhattan,Morningside Heights,Private room,80,8,3,0.1,1,79,22
20056,Manhattan,Gramercy,Private room,65,5,7,0.26,1,0,43
20057,Brooklyn,Flatbush,Entire home/apt,98,2,27,0.96,1,168,40
20058,Manhattan,East Village,Entire home/apt,131,2,15,0.49,1,11,44
20059,Queens,Ridgewood,Private room,69,7,0,1.3732214298586884,1,0,43
20060,Brooklyn,Williamsburg,Private room,70,10,17,0.61,1,0,27
20061,Brooklyn,Crown Heights,Private room,35,3,2,0.07,1,0,40
20062,Brooklyn,Park Slope,Entire home/apt,200,31,2,0.17,11,310,20
20063,Staten Island,Concord,Private room,34,4,51,1.69,8,316,59
20064,Queens,Arverne,Entire home/apt,100,2,48,1.57,1,167,22
20065,Brooklyn,Bergen Beach,Private room,85,3,30,1.15,1,90,37
20066,Manhattan,Upper East Side,Entire home/apt,120,1,9,0.28,1,0,47
20067,Queens,Maspeth,Private room,37,30,10,0.33,2,363,41
20068,Brooklyn,Flatlands,Private room,34,2,94,3.14,2,70,17
20069,Manhattan,Kips Bay,Entire home/apt,175,30,1,0.04,91,126,33
20070,Brooklyn,Williamsburg,Entire home/apt,150,2,13,0.41,1,0,36
20071,Queens,Flushing,Private room,48,1,54,1.72,2,113,24
20072,Brooklyn,Sunset Park,Private room,73,1,10,0.36,3,121,35
20073,Manhattan,Upper West Side,Private room,85,7,14,0.51,1,0,42
20074,Brooklyn,Sunset Park,Private room,69,1,32,1.14,3,292,35
20075,Manhattan,East Village,Entire home/apt,170,1,36,1.14,1,36,45
20076,Brooklyn,Sunset Park,Private room,66,1,24,0.8,3,324,35
20077,Manhattan,Upper East Side,Entire home/apt,200,2,1,0.03,3,0,31
20078,Manhattan,Midtown,Private room,799,3,1,0.03,12,365,50
20079,Manhattan,Midtown,Private room,1599,3,2,0.08,12,365,49
20080,Staten Island,Arrochar,Private room,34,4,39,1.39,8,347,52
20081,Brooklyn,Clinton Hill,Private room,225,365,0,1.3732214298586884,1,90,49
20082,Manhattan,Lower East Side,Private room,69,3,47,1.5,1,217,37
20083,Brooklyn,Crown Heights,Entire home/apt,73,2,4,0.16,1,0,35
20084,Brooklyn,Prospect Heights,Private room,125,1,0,1.3732214298586884,1,15,41
20085,Manhattan,Morningside Heights,Entire home/apt,150,5,3,0.1,1,25,39
20086,Staten Island,Concord,Private room,33,4,18,0.83,7,322,24
